station_id,weekend_weekday_ratio
100020113,0.6371671874735891
100031297,0.5982168153024123
100031300,0.6496675607012646
100034978,0.573146473383753
100034980,0.6430802832578689
100034981,0.5684323815967464
100034982,0.48745469897589144
100034983,0.6007756755033271
100035541,0.5627923774076591
100053305,0.8599340713405454
300037405,0.5707560959983282
300037544,0.9662970825733976
300037920,0.5850029668110046
300037925,0.6368918600818149
300037926,0.6125301446255628
300037928,0.515942907887984
300037931,0.633779778522974
300037932,0.5883059143115478
300037933,0.5942830773436317
300037936,1.471777328762437
300038855,0.5352964632096315
300039328,0.4209040371786995
300039331,0.6271714728294808
